site_id,current_date,future_date,days_ahead,current_rating,future_rating,current_severity,future_severity,borough,on_street,from_street,to_street
110010118650118670,2024-03-24,2025-07-06,469,6.450000,9.440000,0.394444444,0.062222222,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118650118670,2025-07-06,2026-07-10,369,9.440000,9.290000,0.062222222,0.078888889,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118670118690,2018-06-02,2018-09-01,91,9.010000,8.050000,0.110000000,0.216666667,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2018-09-01,2019-08-17,350,8.050000,9.110000,0.216666667,0.098888889,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2019-08-17,2020-10-03,413,9.110000,9.930000,0.098888889,0.007777778,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2020-10-03,2022-04-23,567,9.930000,8.870000,0.007777778,0.125555556,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2022-04-23,2023-01-14,266,8.870000,9.010000,0.125555556,0.110000000,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2023-01-14,2024-03-24,435,9.010000,7.230000,0.110000000,0.307777778,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2024-03-24,2025-07-06,469,7.230000,7.750000,0.307777778,0.250000000,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118670118690,2025-07-06,2026-07-10,369,7.750000,9.830000,0.250000000,0.018888889,Manhattan,1 AVENUE,EAST   84 STREET,EAST   85 STREET
110010118690118710,2018-06-02,2018-09-01,91,9.030000,9.930000,0.107777778,0.007777778,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2018-09-01,2019-08-17,350,9.930000,9.110000,0.007777778,0.098888889,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2019-08-17,2020-10-03,413,9.110000,8.250000,0.098888889,0.194444444,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2020-10-03,2022-04-23,567,8.250000,8.050000,0.194444444,0.216666667,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2022-04-23,2023-01-14,266,8.050000,8.620000,0.216666667,0.153333333,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2023-01-14,2024-03-24,435,8.620000,6.420000,0.153333333,0.397777778,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2024-03-24,2025-07-06,469,6.420000,7.380000,0.397777778,0.291111111,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110010118690118710,2025-07-06,2026-07-10,369,7.380000,8.620000,0.291111111,0.153333333,Manhattan,1 AVENUE,EAST   85 STREET,EAST   86 STREET
110210117870117890,2018-02-24,2019-05-25,455,6.820000,5.070000,0.353333333,0.547777778,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2019-05-25,2019-09-21,119,5.070000,7.900000,0.547777778,0.233333333,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2019-09-21,2020-10-31,406,7.900000,10.000000,0.233333333,0.000000000,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2020-10-31,2022-04-16,532,10.000000,8.250000,0.000000000,0.194444444,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2022-04-16,2023-04-15,364,8.250000,9.110000,0.194444444,0.098888889,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2023-04-15,2024-07-06,448,9.110000,8.870000,0.098888889,0.125555556,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2024-07-06,2025-07-06,365,8.870000,6.770000,0.125555556,0.358888889,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210117870117890,2025-07-06,2026-07-11,370,6.770000,6.600000,0.358888889,0.377777778,Manhattan,3 AVENUE,EAST 44 STREET,EAST 45 STREET
110210118150118170,2020-10-31,2022-04-16,532,10.000000,9.110000,0.000000000,0.098888889,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2022-04-16,2022-06-12,57,9.110000,9.110000,0.098888889,0.098888889,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2022-06-12,2023-04-22,314,9.110000,8.870000,0.098888889,0.125555556,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2023-04-22,2023-11-04,196,8.870000,8.870000,0.125555556,0.125555556,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2023-11-04,2024-07-06,245,8.870000,8.100000,0.125555556,0.211111111,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2024-07-06,2024-11-23,140,8.100000,8.580000,0.211111111,0.157777778,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2024-11-23,2025-07-06,225,8.580000,7.850000,0.157777778,0.238888889,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118150118170,2025-07-06,2026-07-11,370,7.850000,9.540000,0.238888889,0.051111111,Manhattan,3 AVENUE,EAST 58 STREET,EAST 59 STREET
110210118190113113,2018-06-23,2018-09-01,70,6.190000,4.640000,0.423333333,0.595555556,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2018-09-01,2019-08-17,350,4.640000,4.550000,0.595555556,0.605555556,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2019-08-17,2020-10-03,413,4.550000,6.760000,0.605555556,0.360000000,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2020-10-03,2022-04-23,567,6.760000,5.330000,0.360000000,0.518888889,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2022-04-23,2023-01-14,266,5.330000,2.070000,0.518888889,0.881111111,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2023-01-14,2024-07-06,539,2.070000,2.560000,0.881111111,0.826666667,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2024-07-06,2025-07-06,365,2.560000,4.590000,0.826666667,0.601111111,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118190113113,2025-07-06,2026-07-10,369,4.590000,3.250000,0.601111111,0.750000000,Manhattan,3 AVENUE,EAST 60 STREET,BEND
110210118270118290,2018-04-14,2018-09-01,140,9.110000,9.110000,0.098888889,0.098888889,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2018-09-01,2019-08-17,350,9.110000,9.930000,0.098888889,0.007777778,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2019-08-17,2020-10-03,413,9.930000,9.010000,0.007777778,0.110000000,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2020-10-03,2022-04-23,567,9.010000,7.750000,0.110000000,0.250000000,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2022-04-23,2023-01-14,266,7.750000,9.930000,0.250000000,0.007777778,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2023-01-14,2024-07-06,539,9.930000,7.260000,0.007777778,0.304444444,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2024-07-06,2025-07-06,365,7.260000,6.570000,0.304444444,0.381111111,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118270118290,2025-07-06,2026-07-10,369,6.570000,6.750000,0.381111111,0.361111111,Manhattan,3 AVENUE,EAST 64 STREET,EAST 65 STREET
110210118290118310,2018-04-14,2018-09-01,140,9.930000,8.050000,0.007777778,0.216666667,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2018-09-01,2019-08-17,350,8.050000,9.750000,0.216666667,0.027777778,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2019-08-17,2020-10-03,413,9.750000,7.140000,0.027777778,0.317777778,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2020-10-03,2022-04-23,567,7.140000,6.750000,0.317777778,0.361111111,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2022-04-23,2023-01-14,266,6.750000,7.230000,0.361111111,0.307777778,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2023-01-14,2024-07-06,539,7.230000,6.030000,0.307777778,0.441111111,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2024-07-06,2025-07-06,365,6.030000,6.600000,0.441111111,0.377777778,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118290118310,2025-07-06,2026-07-10,369,6.600000,6.300000,0.377777778,0.411111111,Manhattan,3 AVENUE,EAST 65 STREET,EAST 66 STREET
110210118310130120,2018-06-23,2018-09-01,70,9.930000,9.930000,0.007777778,0.007777778,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2018-09-01,2019-08-17,350,9.930000,9.110000,0.007777778,0.098888889,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2019-08-17,2020-10-03,413,9.110000,7.710000,0.098888889,0.254444444,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2020-10-03,2022-04-23,567,7.710000,7.640000,0.254444444,0.262222222,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2022-04-23,2023-01-14,266,7.640000,9.110000,0.262222222,0.098888889,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2023-01-14,2024-01-13,364,9.110000,8.620000,0.098888889,0.153333333,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2024-01-13,2025-07-06,540,8.620000,7.400000,0.153333333,0.288888889,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118310130120,2025-07-06,2026-07-10,369,7.400000,7.900000,0.288888889,0.233333333,Manhattan,3 AVENUE,EAST 66 STREET,SAKHAROV-BONNER CORNER
110210118350118370,2018-04-14,2018-09-01,140,9.110000,9.110000,0.098888889,0.098888889,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
110210118350118370,2018-09-01,2019-08-17,350,9.110000,8.490000,0.098888889,0.167777778,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
110210118350118370,2019-08-17,2020-10-03,413,8.490000,7.750000,0.167777778,0.250000000,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
110210118350118370,2020-10-03,2022-04-23,567,7.750000,8.870000,0.250000000,0.125555556,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
110210118350118370,2022-04-23,2023-01-14,266,8.870000,8.480000,0.125555556,0.168888889,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
110210118350118370,2023-01-14,2024-01-13,364,8.480000,8.870000,0.168888889,0.125555556,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
110210118350118370,2024-01-13,2025-07-06,540,8.870000,6.860000,0.125555556,0.348888889,Manhattan,3 AVENUE,EAST 68 STREET,EAST 69 STREET
